"Name","DisplayName","Status","StartType"
"AarSvc_e5fa3","Agent Activation Runtime_e5fa3","Stopped","Manual"
"ADPSvc","Servizio piattaforma dati aggregati","Stopped","Manual"
"ALG","Servizio Gateway di livello applicazione","Stopped","Manual"
"AppIDSvc","Identità applicazione","Running","Manual"
"Appinfo","Informazioni applicazioni","Running","Manual"
"AppMgmt","Gestione applicazione","Stopped","Manual"
"AppReadiness","Preparazione app","Stopped","Manual"
"AppVClient","Microsoft App-V Client","Stopped","Disabled"
"AppXSvc","Servizio di distribuzione AppX (AppXSVC)","Stopped","Automatic"
"ApxSvc","Servizio proxy dispositivo audio virtuale Windows","Stopped","Manual"
"ArmouryCrateService","Armoury Crate Service","Running","Automatic"
"AssignedAccessManagerSvc","Servizio AssignedAccessManager","Stopped","Manual"
"asus","Servizio ASUS Update (asus)","Stopped","Automatic"
"AsusAppService","ASUS App Service","Running","Automatic"
"asusm","Servizio ASUS Update (asusm)","Stopped","Manual"
"ASUSOptimization","ASUS Optimization","Running","Automatic"
"AsusPTPService","AsusPTPService","Running","Automatic"
"AsusROGLSLService","AsusROGLSLService Download ROGLSLoader","Stopped","Automatic"
"ASUSSoftwareManager","ASUS Software Manager","Running","Automatic"
"ASUSSwitch","ASUS Switch","Running","Automatic"
"ASUSSystemAnalysis","ASUS System Analysis","Running","Automatic"
"ASUSSystemDiagnosis","ASUS System Diagnosis","Running","Automatic"
"AudioEndpointBuilder","Generatore endpoint audio Windows","Running","Automatic"
"Audiosrv","Audio di Windows","Running","Automatic"
"autotimesvc","Ora cellulare","Stopped","Manual"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual"
"BcastDVRUserService_e5fa3","Servizio utente Broadcast e Game DVR_e5fa3","Stopped","Manual"
"BDESVC","Servizio di crittografia unità BitLocker","Running","Manual"
"BEService","BattlEye Service","Stopped","Manual"
"BFE","BFE (Base Filtering Engine)","Running","Automatic"
"BITS","Servizio trasferimento intelligente in background","Stopped","Manual"
"BluetoothUserService_e5fa3","Servizio di supporto utente Bluetooth_e5fa3","Stopped","Manual"
"BrokerInfrastructure","Servizio infrastruttura attività in background","Running","Automatic"
"BTAGService","Servizio gateway audio Bluetooth","Stopped","Manual"
"BthAvctpSvc","Servizio AVCTP","Stopped","Manual"
"bthserv","Servizio di supporto Bluetooth","Running","Manual"
"camsvc","Servizio di gestione dell'accesso alle funzionalità","Running","Automatic"
"CaptureService_e5fa3","CaptureService_e5fa3","Stopped","Manual"
"cbdhsvc_e5fa3","Servizio utente degli Appunti_e5fa3","Running","Automatic"
"CDPSvc","Servizio piattaforma dispositivi connessi","Running","Automatic"
"CDPUserSvc_e5fa3","Servizio utente piattaforma dispositivi connessi_e5fa3","Running","Automatic"
"CertPropSvc","Propagazione certificati","Stopped","Manual"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic"
"ClipSVC","Servizio licenze client (ClipSVC)","Stopped","Manual"
"CloudBackupRestoreSvc_e5fa3","Servizio di backup e ripristino cloud_e5fa3","Stopped","Manual"
"cloudidsvc","Servizio di identità nel cloud Microsoft","Stopped","Manual"
"COMSysApp","Applicazione di sistema COM+","Stopped","Manual"
"ConsentUxUserSvc_e5fa3","Servizi utente ConsentUX_e5fa3","Stopped","Manual"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Automatic"
"CredentialEnrollmentManagerUserSvc_e5fa3","CredentialEnrollmentManagerUserSvc_e5fa3","Stopped","Manual"
"CryptSvc","Servizi di crittografia","Running","Automatic"
"CscService","File non linea","Stopped","Manual"
"DcomLaunch","Utilità di avvio processi server DCOM","Running","Automatic"
"dcsvc","Servizio Configurazione dichiarata (DC)","Stopped","Manual"
"defragsvc","Ottimizza unità","Stopped","Manual"
"DeviceAssociationBrokerSvc_e5fa3","DeviceAssociationBroker_e5fa3","Stopped","Manual"
"DeviceAssociationService","Servizio associazione dispositivi","Running","Automatic"
"DeviceInstall","Servizio installazione dispositivi","Stopped","Manual"
"DevicePickerUserSvc_e5fa3","DevicePicker_e5fa3","Stopped","Manual"
"DevicesFlowUserSvc_e5fa3","DevicesFlow_e5fa3","Running","Manual"
"DevQueryBroker","Gestore individuazione in background DevQuery","Stopped","Manual"
"Dhcp","Client DHCP","Running","Automatic"
"diagsvc","Diagnostic Execution Service","Stopped","Manual"
"DiagTrack","Esperienze utente connesse e telemetria","Running","Automatic"
